date,HHA11AS001XQ01,HHA31AS001XQ01,HHA51AS001XQ01,HHA71AS001XQ01,HHA81AS001XQ01,HNA00AA001AXQ01,HNA00AA002AXQ01,LAF14CG101XQ01,LAF31CG101XQ01,LAF33CG101XQ01
2016/3/1 1:06,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:07,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:08,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:09,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:10,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:11,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:12,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:13,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:14,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:15,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:16,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:17,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:18,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:19,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:20,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:21,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:22,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:23,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:24,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:25,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 1:26,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 1:27,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:28,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:29,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:30,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:31,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:32,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:33,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:34,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:35,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:36,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:37,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:38,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:39,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:40,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:41,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:42,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:43,80,80,80,80,80,100,77,2.59463,0.641025,0.152625
2016/3/1 1:44,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:45,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:46,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:47,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:48,80,80,80,80,80,100,77,2.53358,0.824176,0.152625
2016/3/1 1:49,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:50,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:51,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:52,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:53,80,80,80,80,80,100,77,2.59463,0.824176,0.152625
2016/3/1 1:54,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 1:55,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 1:56,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 1:57,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 1:58,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 1:59,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:00,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:01,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:02,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:03,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:04,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:05,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:06,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
